adc_in,adc_out
0.274906,1
0.309513,2
0.334286,3
0.343606,4
0.343606,5
0.365278,6
0.364839,7
0.377544,8
0.377544,9
0.381864,10
0.395029,11
0.39503,12
0.399093,13
0.409239,14
0.410925,15
0.410926,16
0.420954,17
0.424857,18
0.424857,19
0.425953,20
0.434665,21
0.436127,22
0.436126,23
0.439564,24
0.44369,25
0.445507,26
0.453392,27
0.454068,28
0.454066,29
0.457689,30
0.462555,31
0.463271,32
0.467993,33
0.469599,34
0.469608,35
0.47547,36
0.475471,37
0.480697,38
0.482608,39
0.482606,40
0.486489,41
0.488366,42
0.488366,43
0.491468,44
0.495672,45
0.497406,46
0.497406,47
0.501021,48
0.502551,49
0.50409,50
0.504091,51
0.506211,52
0.510211,53
0.510212,54
0.513401,55
0.52084,56
0.518862,57
0.518861,58
0.520944,59
0.520945,60
0.524374,61
0.524385,62
0.526428,63
0.541756,64
0.528314,65
0.532889,66
0.53569,67
0.539837,68
0.538926,69
0.54114,70
0.54114,71
0.542212,72
0.543203,73
0.544358,74
0.549487,75
0.550973,76
0.549428,77
0.559153,78
0.56018,79
0.562895,80
0.558904,81
0.559889,82
0.559889,83
0.561994,84
0.563995,85
0.565526,86
0.566848,87
0.580654,88
0.577075,89
0.577421,90
0.575051,91
0.57725,92
0.57725,93
0.578893,94
0.580654,95
0.582751,96
0.585104,97
0.585107,98
0.587887,99
0.587887,100
0.591056,101
0.591057,102
0.59376,103
0.597617,104
0.59736,105
0.597356,106
0.599223,107
0.600464,108
0.603715,109
0.603614,110
0.607635,111
0.6196,112
0.608599,113
0.611896,114
0.611896,115
0.614308,116
0.617198,117
0.617196,118
0.619483,119
0.624254,120
0.623618,121
0.625925,122
0.62608,123
0.629338,124
0.629338,125
0.631389,126
0.631252,127
0.635702,128
0.635367,129
0.644366,130
0.638137,131
0.642067,132
0.644157,133
0.643961,134
0.645497,135
0.649839,136
0.650743,137
0.650744,138
0.654037,139
0.654036,140
0.657927,141
0.657928,142
0.659874,143
0.666496,144
0.665277,145
0.665277,146
0.666498,147
0.671265,148
0.671266,149
0.680335,150
0.67691,151
0.67882,152
0.680095,153
0.680095,154
0.685092,155
0.68973,156
0.689715,157
0.689732,158
0.689847,159
0.703039,160
0.696635,161
0.701643,162
0.701398,163
0.701398,164
0.703,165
0.705915,166
0.712988,167
0.712649,168
0.712644,169
0.714644,170
0.717621,171
0.721983,172
0.72518,173
0.725199,174
0.72636,175
0.736123,176
0.734641,177
0.734605,178
0.736444,179
0.738631,180
0.742521,181
0.746319,182
0.751309,183
0.764881,184
0.753196,185
0.757977,186
0.758146,187
0.761331,188
0.767173,189
0.768482,190
0.771417,191
0.274951,192
0.776415,193
0.779969,194
0.78671,195
0.78836,196
0.792189,197
0.797392,198
0.7981,199
0.809352,200
0.806363,201
0.811949,202
0.814344,203
0.826987,204
0.825694,205
0.82928,206
0.83898,207
0.858587,208
0.843855,209
0.854564,210
0.853947,211
0.859302,212
0.871217,213
0.887358,214
0.876065,215
0.923557,216
0.892245,217
0.906445,218
